"","explanation","model","A","response","response.low","response.high","N","bootCI","src"
"1","B because !A","cause",FALSE,0.292652903476401,0.292652903476401,0.292652903476401,1,"0.292652903476401","simulation"
"2","B because B","cause",FALSE,0.733323707903728,0.733323707903728,0.733323707903728,1,"0.733323707903728","simulation"
"3","B because A","cause",TRUE,0.964259556696279,0.964259556696279,0.964259556696279,1,"0.964259556696279","simulation"
"4","B because B","cause",TRUE,0.733323707903728,0.733323707903728,0.733323707903728,1,"0.733323707903728","simulation"
"5","B because !A","reverseCause",FALSE,0.0235817487257456,0.0235817487257456,0.0235817487257456,1,"0.0235817487257456","simulation"
"6","B because B","reverseCause",FALSE,0.732702774273779,0.732702774273779,0.732702774273779,1,"0.732702774273779","simulation"
"7","B because A","reverseCause",TRUE,0.944522119683468,0.944522119683468,0.944522119683468,1,"0.944522119683468","simulation"
"8","B because B","reverseCause",TRUE,0.732702774273779,0.732702774273779,0.732702774273779,1,"0.732702774273779","simulation"
"9","B because !A","commonCause",FALSE,0.182812929336014,0.182812929336014,0.182812929336014,1,"0.182812929336014","simulation"
"10","B because B","commonCause",FALSE,0.732540722475664,0.732540722475664,0.732540722475664,1,"0.732540722475664","simulation"
"11","B because A","commonCause",TRUE,0.925234658078098,0.925234658078098,0.925234658078098,1,"0.925234658078098","simulation"
"12","B because B","commonCause",TRUE,0.732540722475664,0.732540722475664,0.732540722475664,1,"0.732540722475664","simulation"
"13","B because !A","independent",FALSE,1.63800651013222e-05,1.63800651013222e-05,1.63800651013222e-05,1,"1.63800651013222e-05","simulation"
"14","B because B","independent",FALSE,0.728634697792867,0.728634697792867,0.728634697792867,1,"0.728634697792867","simulation"
"15","B because A","independent",TRUE,1.05203642641086e-05,1.05203642641086e-05,1.05203642641086e-05,1,"1.05203642641086e-05","simulation"
"16","B because B","independent",TRUE,0.728634697792867,0.728634697792867,0.728634697792867,1,"0.728634697792867","simulation"
"17","B because !A","cause",FALSE,0.558,-0.168245183583672,1.13949187804543,5,"-0.168245183583672 1.13949187804543","data"
"18","B because !A","reverseCause",FALSE,0.114,0.00767063504308851,0.244633219804206,5,"0.00767063504308851 0.244633219804206","data"
"19","B because !A","commonCause",FALSE,0.17,0.17,0.17,2,"-Inf Inf","data"
"20","B because !A","independent",FALSE,0.0528571428571429,0.0155385176111691,0.202619454704908,7,"0.0155385176111691 0.202619454704908","data"
"21","B because A","cause",TRUE,0.885,0.69469488252848,1.0178058711533,4,"0.69469488252848 1.0178058711533","data"
"22","B because A","reverseCause",TRUE,0.06,0.06,0.06,4,"-Inf Inf","data"
"23","B because A","commonCause",TRUE,0.7,0.7,0.7,1,"NA NA","data"
"24","B because A","independent",TRUE,0.0666666666666667,0.0666666666666667,0.0666666666666667,3,"-Inf Inf","data"
"25","B because B","cause",FALSE,0.616,-0.0392792820786703,0.993318562916959,5,"-0.0392792820786703 0.993318562916959","data"
"26","B because B","cause",TRUE,0.415,-1.39143540077291,1.78137578111459,4,"-1.39143540077291 1.78137578111459","data"
"27","B because B","reverseCause",FALSE,0.794,0.282530892384796,0.917705096689721,5,"0.282530892384796 0.917705096689721","data"
"28","B because B","reverseCause",TRUE,0.89,0.89,1.08231311098265,4,"-Inf 1.08231311098265","data"
"29","B because B","commonCause",FALSE,0.5,0.5,0.5,2,"NA NA","data"
"30","B because B","commonCause",TRUE,1,1,1,1,"NA NA","data"
"31","B because B","independent",FALSE,0.905714285714286,0.79504269188519,1.00088612573114,7,"0.79504269188519 1.00088612573114","data"
"32","B because B","independent",TRUE,0.95,0.95,0.95,3,"-Inf Inf","data"
